game_id,inning,batting_team,batter,pitch_sequence,event_text,ejection_flag,ejectee,job_code,ump_id,reason
NYN200006230,2,1,joneb003,,BK.3-H;2-3;1-2,ej,vuckp001,C,hirsj901,Balk call
NYN200006250,1,0,younk001,CBX,9/F9,ej,vuckp001,C,hirsj901,Sitting on top step of dugout
NYN200006250,1,1,piazm001,FBBSBS,K+CS3(25)/DP,ej,lamog101,M,hirsj901,Vuckovich's ejection
NYN200007081,1,0,knobc001,X,S9/OBS.B-2(E3),ej,valeb102,M,demud901,Obstruction call
NYN200008290,8,0,millw001,FFBFX,S/78.3-H(UR);1-3,ej,ceder001,P,onorb901,Balls and strikes
OAK200006190,5,1,hernr002,BBBFFX,8/F8,ej,hargm001,M,higgs901,Balls and strikes
OAK200006240,9,0,zaung001,CFBFX,53/G,ej,peter801,C,davig901,Balls and strikes
OAK200007200,7,1,longt002,BBBCX,S9.3-H;2XH(92);1-2,ej,howea001,M,meric901,Call at HP
OAK200007300,4,1,fasas001,BX,53/G,ej,quadm801,C,drakr901,Call at 1B
OAK200008110,7,1,longt002,BBCBX,S9/9S,ej,ausmb001,P,fichm901,Balls and strikes (while catching)
OAK200008110,7,1,longt002,BBCBX,S9/9S,ej,garnp001,M,fichm901,Balls and strikes
PHI200006060,12,1,moram001,CFBX,9/L9,ej,vukoj101,C,timmt901,Bench jockeying
PHI200006180,8,0,jonec004,BBBCSS,K,ej,gomew001,P,reilm901,Balls and strikes
PHI200008100,7,0,jackd003,FBBBFX,T9.2-H;1-H,ej,frant001,M,willc901,Refusal to call ground rule double
PHI200008120,4,0,aloum001,FFBC,K/C,ej,aloum001,P,gibsg901,Balls and strikes
PHI200008300,10,0,hammj001,BBBCFC,K/C,ej,hammj001,P,drakr901,Called third strike
PHI200008300,10,1,liebm001,FBSX,16(1)3/GDP,ej,frant001,M,drakr901,Allowing too many warmup pitches
PHI200009111,9,0,vidrj001,FX,46(1)3/GDP,ej,guerv001,P,welkb901,Call at 1B
PIT200005100,3,0,ordor001,BX,63/G,ej,lamog101,M,froeb901,Balls and strikes
PIT200006140,10,1,cordw001,CBFFBBFFX,HR/78,ej,mccll001,C,wendh902,Balls and strikes
PIT200008012,7,0,shefg001,CBCBC,K/C,ej,browk001,P,vanvm901,Called third strike on Sheffield
SDN200004290,6,1,owene001,CCFS,K,ej,cox-b103,M,welkb901,Balls and strikes
SDN200006100,2,1,marta001,BFCC,K/C,ej,marta001,P,barrt901,Balls and strikes
SDN200007010,9,0,cirij001,SCFFFBC,K/C,ej,cirij001,P,dimum901,Called third strike
SDN200007020,7,1,klesr001,FFBC,K/C,ej,klesr001,P,gormb901,Called third strike
SDN200009020,4,1,klesr001,CX,S9/9S,ej,bochb002,M,gibsg901,Call at 1B
SDN200009040,7,0,grism001,BSCC,K/C,ej,grism001,P,tscht901,Balls and strikes
SDN200009170,7,0,kentj001,BCFBBC,K/C,ej,kentj001,P,mcclt901,Balls and strikes
SDN200009280,7,1,jackd003,B,BK.3-H;1-2,ej,larut101,M,shulj901,Balk call
SDN200010010,2,1,mabrj001,FCBBBFFF,BK.1-2,ej,johnd105,M,culbf901,Balk call
SEA200005200,7,0,cansj001,BSFBS,K,ej,mclem001,P,froeb901,Charging mound
SEA200005200,7,0,cansj001,BSFBS,K,ej,rhoda001,P,froeb901,Fighting; arguing with umpire
SEA200006040,7,1,rodra001,BCSX,T9,ej,nevip001,P,schrp901,Call at 3B (Touched umpire; threw equipment)
SEA200006270,2,1,camem001,,BK.3-H;1-2,ej,belct001,P,dimum901,Balk call
SEA200006270,2,1,camem001,,BK.3-H;1-2,ej,sciom001,M,dimum901,Ejection of Belcher
SEA200007300,13,1,marte001,BFBX,S8.3-H;2-3;1-2,ej,welld001,P,davig901,Bench jockeying
SEA200007300,8,1,mclem001,BBBCB,W,ej,frasj001,P,riekr901,Throwing at batter
SEA200007300,8,1,mclem001,BBBCB,W,ej,fregj101,M,riekr901,Throwing at batter
SEA200008260,9,0,durhr001,FSBFC,K/C,ej,durhr001,P,randt901,Balls and strikes
